"","state","dem_votes","rep_votes","delivered","delivered_100","admin","admin_100","percent_one_18","percent_full_18"
"1","alabama",849624,1441170,3960530,"80775",2478227,"50543","40.4","27.9"
"2","alaska",153778,189951,759125,"103770",540565,"73894","53.3","44.3"
"3","arizona",1672143,1661686,6285415,"86353",4912269,"67488","50.7","35.4"
"4","arkansas",423932,760647,2586420,"85705",1734405,"57472","44.9","31.4"
"5","california",11110250,6006429,36101260,"91367",29151065,"73777","60","36.9"
"6","colorado",1804352,1364607,4968480,"86277",4241020,"73645","56.9","38.6"
"7","connecticut",1080831,714717,3716115,"104230",3094177,"86786","65.7","45.7"
"8","delaware",296268,200603,903465,"92781",723678,"74318","56.7","38.1"
"9","district of columbia",317323,18586,780595,"110605",576507,"81687","55.8","34"
"10","florida",5297045,5668731,19584145,"91183",14608762,"68018","50.1","34.2"
"11","georgia",2473633,2461854,8793835,"82825",6011504,"56619","44.1","29.3"
"12","hawaii",366130,196864,1370040,"96763",1167288,"82443","62.9","42.7"
"13","idaho",287021,554119,1386985,"77612",1048785,"58688","44.6","34.6"
"14","illinois",3471915,2446891,11286585,"89068",9093034,"71758","57.1","37"
"15","indiana",1242416,1729519,5220380,"77543",3985688,"59203","45.4","32.9"
"16","iowa",759061,897672,2664745,"84459",2295425,"72754","55.6","41.4"
"17","kansas",570323,771406,2576035,"88423",1962004,"67346","54.5","39.4"
"18","kentucky",772474,1326646,3747885,"83889",3056552,"68415","51.5","39.3"
"19","louisiana",856034,1255776,3612910,"77717",2660514,"57230","41.4","33.7"
"20","maine",435072,360737,1265690,"94159",1108830,"82489","63.3","44.5"
"21","maryland",1985023,976414,5544960,"91718",4554368,"75333","58.9","40.8"
"22","massachusetts",2382202,1167202,6771230,"98241",5855519,"84955","65.8","42.2"
"23","michigan",2804040,2649852,8738230,"87497",6832809,"68418","52.1","38.1"
"24","minnesota",1717077,1484065,4634790,"82182",4189925,"74294","58.5","42.2"
"25","mississippi",539398,756764,2381005,"80003",1520706,"51096","39.2","29.1"
"26","missouri",1253014,1718736,5095385,"83022",3858945,"62876","47.1","33.5"
"27","montana",244786,343602,963855,"90183",734717,"68744","50.3","38.6"
"28","nebraska",374583,556846,1690180,"87375",1380706,"71376","55.8","41.3"
"29","nevada",703486,669890,2396080,"77791",1985316,"64455","49.4","34.2"
"30","new hampshire",424921,365654,1227615,"90285",1129881,"83097","72.5","36.2"
"31","new jersey",2608335,1883274,7963795,"89660",6974357,"78521","63","43.1"
"32","new mexico",501614,401894,1999255,"95347",1746428,"83289","63.7","45.8"
"33","new york",5230985,3244798,17625975,"90605",14856419,"76369","57.3","40.4"
"34","north carolina",2684292,2758773,9241800,"88117",6767925,"64530","48.6","35.1"
"35","north dakota",114902,235595,626540,"82216",552616,"72516","50.3","41.6"
"36","ohio",2679165,3154834,10062385,"86083",8072314,"69058","50.2","39"
"37","oklahoma",503890,1020280,3699765,"93500",2627397,"66399","49.6","37.5"
"38","oregon",1340383,958448,3557915,"84356",2908484,"68958","53","36.1"
"39","pennsylvania",3458229,3377674,11822805,"92351",9613437,"75093","59.5","37.9"
"40","rhode island",307486,199922,1065185,"100550",872064,"82320","62","42.9"
"41","south carolina",1091541,1385103,4313565,"83779",3111127,"60425","45.1","32.6"
"42","south dakota",150471,261043,859215,"97124",680026,"76869","57.9","46.1"
"43","tennessee",1143711,1852475,5396000,"79014",3877011,"56771","42.8","29.7"
"44","texas",5259126,5890347,23721275,"81809",18093739,"62401","49.4","33.5"
"45","utah",560282,865140,2367860,"73858",2035687,"63497","52.4","30.8"
"46","vermont",242820,112704,633640,"101547",537515,"86142","64","43.5"
"47","virginia",2413568,1962430,7521285,"88117",6344228,"74327","57.5","39.1"
"48","washington",2369612,1584651,6667750,"87562",5574043,"73199","56.4","39"
"49","west virginia",235984,545382,1624925,"90669",1139496,"63583","43.5","36"
"50","wisconsin",1630866,1610184,5004705,"85956",4490374,"77122","56.5","42.6"
"51","wyoming",73491,193559,476085,"82260",348679,"60246","43.4","34.8"
